fluence,peak_id,bragg_peak,a,a_err,c,c_err,tau,tau_err,t0,t0_err
0.78,1,(011),-0.004074277884975464,0.0017886963166047546,1.0040872263069143,0.00137029795059539,0.2013907151826174,0.44036472607055943,3.826829332387579,1.91857551706259
0.78,2,(01-1),-0.0514851754887969,0.002102587079102333,1.0037155838672804,0.001613046696090768,1.0215458160979547,0.4606884679536232,1.6246896837671392,0.4060439220281579
0.78,5,(002),-0.07727851940054341,0.0057342445361336985,1.0033381895990403,0.004094306639630278,1.58407275889133,0.8420015499675889,1.6255434208726987,0.6709194231564215
0.78,6,(022),-0.11641351147854771,0.0034781921862486256,1.0036503784648048,0.002586367436798877,1.5842106198485506,0.3310632599250267,1.0865147652734073,0.26771661394481916
1.3,1,(011),-0.0518902260927446,0.010997044881554466,1.000171560079493,0.0019547100624971734,8.77811252386391,4.037137334639967,-0.08577847572103305,0.9235132505048929
1.3,2,(01-1),-0.10765351115851131,0.0029784080677081517,1.002451855320228,0.002059668972263747,2.48206762598642,0.3307731306230912,0.34816427406580164,0.23352190938298015
1.3,5,(002),-0.20264144731397973,0.01446590132588837,1.0007416148585921,0.007494084954829669,4.297861191624066,1.0430560606645471,-0.280361534209538,0.5390194643109225
1.3,6,(022),-0.1980741807865409,0.005771584100020918,1.0035576043578287,0.004064616602926018,2.590688524544548,0.3464023691115589,-0.01044335649076022,0.2441625387784857
2.6,1,(011),-0.06979394393457773,0.007871738451747908,0.9982683078503949,0.0024000733903447235,5.316158040753052,1.7695800181476968,1.0243518454000302,0.6609559662834201
2.6,2,(01-1),-0.2547898954107953,0.005319806309155612,0.9994074735694715,0.003588095337679494,2.218340556587872,0.24901161602453176,1.063165469383211,0.17900779557843702
2.6,5,(002),-0.26104260589971323,0.018094883655319968,1.0029906434612297,0.011026766705284692,4.061740437591579,0.9547165968419791,-0.9515802821467744,0.5484058133652646
2.6,6,(022),-0.31552979972858525,0.007960916216343874,1.0071077518170393,0.0058009621666425815,2.4206041936707394,0.29047901278277605,-0.09267683696554935,0.21203953286087118
5.2,1,(011),-0.16954212962957435,0.006202594818602309,0.9947758870996999,0.0027683786611114565,2.7418919406542246,0.46808201814727507,3.1280682651024736,0.26848945175092315
5.2,2,(01-1),-0.6983165026597913,0.007043431990948622,0.9901631510199898,0.004168743766444851,2.1514363322768073,0.12331191038003919,2.3964857703203784,0.08500234907151312
5.2,5,(002),-0.542749684935866,0.017673824752761275,0.9966522747670652,0.010530790781615316,2.6631119344362912,0.4141732652113165,1.3368572547830848,0.2680738180063142
5.2,6,(022),-0.6916102873473012,0.0072822048093417815,0.9969991349762406,0.005113485390781439,1.686012887248215,0.12060522661570884,1.6344860817874758,0.09422658827375367
7.8,1,(011),-0.1544646279762243,0.006288504361612709,0.9934750922502626,0.0030728977125156114,3.037417494490857,0.5408602532506577,2.022247374220918,0.30912781941434325
7.8,2,(01-1),-0.7384183236153243,0.008373665035497397,0.9927795725650733,0.005527875749152552,1.7321337042658758,0.13277999677273494,2.2439310183768724,0.1008958159838717
7.8,5,(002),-0.6631630524078636,0.018193822991751287,0.9851762416068535,0.01310466624388919,1.7659674985823963,0.310874995889069,1.1704773292677364,0.2426756364346783
7.8,6,(022),-0.678819609577931,0.008528493344856742,1.0018681997160663,0.006318512113937864,1.2924374154214877,0.14061675817033084,1.6756239436892617,0.11805378026508768
10.4,1,(011),-0.2090490631025521,0.01829453663232689,0.995537452406902,0.003957733346768516,7.587219783273662,1.571353591218806,0.12067217953173406,0.424505986398632
10.4,2,(01-1),-0.8693569979368446,0.012091333875828118,0.9832103078383218,0.006785301872919502,2.1177410350297774,0.16992550596568481,2.899616694012051,0.11550237179644222
10.4,5,(002),-0.9218888443986215,0.03230466193270519,0.9807154725028564,0.019798561157547544,2.6323438647298874,0.4422051561815928,1.166972006921872,0.29066010747333687
10.4,6,(022),-0.7062517550059945,0.00797465511026911,0.9999868603183728,0.005410403062101743,1.5730687062742092,0.13061704781765032,2.2697097615175914,0.10247152131380573
