voltage,laser power,intensity,lp_error,intensity_err,perc_intensity_err,,,,,
30,50,406174,3,24370.44,0.06,,,,,
30,97.5,1665627,15.5,264791.9846,0.158974359,,,,,
30,190.5,3843443,20.5,413598.853,0.107611549,,,,,
30,255,16335953,16,1025000.973,0.062745098,,,,,
30,349,17390403,65,3238900.272,0.186246418,,,,,
30,495.5,27344177,114.5,6318684.695,0.231079717,,,,,
30,561,35314425,89,5602466.711,0.158645276,,,,,
30,656,42338342,78,5034132.128,0.118902439,,,,,
30,780,55691936,166,11852386.38,0.212820513,,,,,
60,7,13202,1,1886,0.142857143,,,,,
60,38.5,212403,4.5,24826.32468,0.116883117,,,,,
60,92.5,7250197,16.5,1293278.384,0.178378378,,,,,
60,169,19336377,55,6292903.757,0.325443787,,,,,
60,352.5,37000052,56.5,5930504.789,0.160283688,,,,,
60,613,106649884,142,24705193.36,0.231647635,,,,,
60,709,102557779,110,15911644.13,0.155148096,,,,,
90,56,2562479,5,228792.7679,0.089285714,,,,,
90,94,5057097,6,322793.4255,0.063829787,,,,,
90,163,25600470,15,2355871.472,0.09202454,,,,,
90,210,35588602,15,2542043,0.071428571,,,,,
90,296,50321205,16,2720065.135,0.054054054,,,,,
90,370,61102001,20,3302810.865,0.054054054,,,,,
90,480.5,90698093,20.5,3869533.624,0.042663892,,,,,
90,600,108284219,20,3609473.967,0.033333333,,,,,
90,630,117043270,40,7431318.73,0.063492063,,,,,
110,50,60077,3,3604.62,0.06,,,,,
110,97.5,1043858,15.5,165946.6564,0.158974359,,,,,
110,190.5,6774325,20.5,728995.6037,0.107611549,,,,,
110,255,10813073,16,678467.3255,0.062745098,,,,,
110,349.5,29006648,47.5,3942248.298,0.135908441,,,,,
110,448,54348422,49,5944358.656,0.109375,,,,,
110,561,96976820,89,15384914.4,0.158645276,,,,,
110,656,93949699,78,11170848.36,0.118902439,,,,,
110,780,115737928,166,24631405.19,0.212820513,,,,,
